Age,Workclass,Final_Weight,Education,Education_as_integer,Marital_status,Occupation,Relationship,Gender,Capital_gain,Capital_loss,hours-per-week,income_greater_than_50
25,0,253267,2,10,0,0,0,2,0,1902,36,1
57,1,170603,2,10,0,0,0,2,0,0,40,1
63,1,90393,2,10,0,0,0,2,0,0,48,0
60,0,367695,2,12,0,0,0,2,0,0,40,1
26,0,115717,2,10,0,0,0,2,0,2051,40,0
31,0,364657,2,10,0,0,0,2,0,0,45,1
50,0,98350,2,10,0,0,0,2,0,0,40,1
47,1,114222,2,12,0,0,0,2,0,0,55,1
31,0,59496,2,10,0,0,0,2,0,0,50,0
41,0,104892,2,10,0,0,0,2,2829,0,40,0
61,2,221884,2,10,0,0,0,2,0,0,50,1
39,0,126569,2,10,0,0,0,2,0,0,40,1
55,0,150507,2,10,0,0,0,2,0,0,40,0
56,1,255386,2,10,0,0,0,2,0,0,40,0
36,0,33983,2,11,1,0,3,2,0,0,42,1
42,0,183384,2,10,2,0,3,1,0,0,40,0
46,0,97883,2,10,2,0,3,1,0,0,40,0
43,1,311914,2,10,2,0,3,1,0,0,40,0
49,0,72333,2,10,2,0,3,1,0,0,40,0
40,0,190122,2,10,2,0,3,1,0,0,40,0
33,0,203463,2,10,2,0,3,1,0,0,40,0
52,1,295494,2,11,1,0,3,1,0,0,40,0
29,1,33315,2,12,2,0,3,1,0,0,40,0
21,0,147884,2,10,0,0,6,1,0,0,40,0
19,1,536725,2,10,1,0,6,1,0,0,15,0
22,0,239954,2,10,1,0,6,2,0,0,40,0
19,0,124906,2,10,1,0,4,1,0,1719,25,0
44,0,147110,2,10,2,0,4,2,14344,0,40,1
21,0,140001,2,10,1,0,4,2,0,0,10,0
26,0,264300,2,12,1,0,4,1,0,0,40,0
90,0,171956,2,10,2,0,4,1,0,0,40,0
33,1,111994,2,10,2,0,5,1,0,0,45,0
42,0,136177,2,10,2,0,5,1,0,0,38,0
39,0,129495,2,10,2,0,5,1,0,0,40,0
34,2,168906,2,10,2,0,5,1,0,0,50,0
38,0,168407,2,10,2,0,5,1,5721,0,44,0
28,2,237466,2,10,0,0,1,1,0,0,30,1
37,0,177285,2,11,0,0,1,1,0,0,48,1
32,0,128002,2,11,0,0,1,1,0,0,45,0
38,1,29075,2,10,0,0,1,1,5013,0,40,0
26,0,93169,2,12,0,0,1,1,0,0,40,0
38,0,309230,2,10,0,1,0,2,0,0,40,1
38,0,54816,2,11,0,1,0,2,0,0,40,1
42,0,112494,2,10,0,1,0,2,7298,0,35,1
45,0,294671,2,11,0,1,0,2,4386,0,38,1
56,1,238582,2,10,0,1,0,2,0,0,41,1
33,2,266674,2,10,0,1,0,2,7298,0,56,1
50,2,343748,2,10,0,1,0,2,0,0,35,0
47,0,84790,2,10,0,1,0,2,0,0,40,0
44,0,98779,2,10,0,1,0,2,5178,0,40,1
49,0,182862,2,10,0,1,0,2,7688,0,40,1
36,0,348960,2,10,0,1,0,2,0,0,40,0
36,0,410034,2,12,0,1,0,2,0,0,45,0
35,0,225860,2,11,0,1,0,2,0,0,40,1
33,0,236379,2,11,0,1,0,2,0,0,45,1
36,0,320811,2,10,0,1,0,2,0,0,40,1
24,0,304463,2,10,0,1,0,2,0,0,65,0
45,2,48553,2,10,0,1,0,2,0,0,60,0
40,0,254478,2,10,0,1,0,2,7298,0,50,1
45,0,118714,2,11,0,1,0,2,0,0,40,0
32,0,48520,2,10,0,1,0,2,0,0,40,0
51,0,43705,2,10,0,1,0,2,0,0,40,0
46,0,90042,2,10,0,1,0,2,0,0,40,1
47,0,213140,2,11,0,1,0,2,7688,0,40,1
23,2,40323,2,10,0,1,0,2,0,0,40,1
39,0,173476,2,15,0,1,0,2,7688,0,40,1
43,0,43945,2,10,0,1,0,2,0,0,40,1
49,2,43479,2,10,0,1,0,2,0,0,40,0
29,0,112847,2,11,0,1,0,2,7298,0,32,1
37,1,365430,2,10,0,1,0,2,5178,0,40,1
37,0,167735,2,11,0,1,0,2,0,1887,40,1
32,0,137184,2,10,0,1,0,2,0,0,40,0
44,2,219591,2,10,0,1,0,2,0,0,40,0
46,0,59287,2,10,0,1,0,2,0,0,40,0
55,0,175071,2,10,0,1,0,2,15024,0,40,1
24,0,165054,2,11,0,1,0,2,0,0,40,0
47,0,235108,2,10,0,1,0,2,5178,0,40,1
41,0,221947,2,10,0,1,0,2,0,0,56,1
51,0,150999,2,10,0,1,0,2,7298,0,40,1
60,0,252413,2,10,0,1,0,2,0,0,32,1
41,0,424478,2,10,0,1,0,2,0,0,45,1
55,0,143266,2,11,0,1,0,2,0,0,50,1
41,2,37618,2,12,0,1,0,2,0,0,60,1
20,2,54152,2,10,1,1,3,1,0,0,35,0
48,2,139212,2,10,2,1,3,2,0,0,40,0
57,0,133126,2,10,1,1,3,1,0,0,40,0
31,0,133770,2,12,0,1,3,2,0,0,50,1
28,0,25955,2,11,2,1,3,2,0,0,40,0
40,0,266084,2,10,2,1,6,2,0,0,50,0
36,0,176101,2,10,1,1,4,2,2174,0,60,0
22,0,326334,2,10,1,1,4,2,0,0,35,0
25,0,389456,2,10,1,1,4,2,0,0,30,0
46,0,266337,2,11,2,1,5,2,0,0,40,0
42,0,149546,2,10,2,1,5,2,0,0,30,0
29,0,236938,2,12,2,1,5,1,0,0,38,0
46,0,358585,2,10,2,1,5,2,0,0,40,1
52,2,129311,2,10,0,2,0,2,0,0,95,1
43,2,130126,2,10,0,2,0,2,15024,0,45,1
39,0,97771,2,11,0,2,0,2,0,0,45,0
59,0,258883,2,11,0,2,0,2,0,0,40,0
53,0,30244,2,12,0,2,0,2,15024,0,40,1
65,0,330144,2,10,0,2,0,2,0,0,40,0
34,0,189809,2,10,0,2,0,2,0,0,52,0
50,0,245356,2,10,0,2,0,2,0,0,50,1
42,0,33126,2,12,0,2,0,2,0,0,60,1
45,0,117409,2,10,0,2,0,2,0,0,40,1
58,0,289364,2,10,0,2,0,2,7688,0,45,1
39,0,107991,2,10,0,2,0,2,0,0,45,1
37,0,251396,2,12,0,2,0,2,0,0,65,1
28,0,356555,2,10,0,2,0,2,0,0,48,0
46,0,325372,2,10,0,2,0,2,0,0,40,0
59,1,240030,2,15,0,2,0,2,0,0,40,1
34,0,157747,2,10,0,2,0,2,7298,0,40,1
43,2,34218,2,10,0,2,0,2,0,0,40,0
43,0,326232,2,10,0,2,0,2,0,0,40,1
56,0,367984,2,11,0,2,0,2,15024,0,40,1
40,0,94080,2,12,0,2,0,2,0,0,40,1
45,0,247379,2,10,0,2,0,2,0,0,50,0
48,0,83444,2,11,0,2,0,2,0,0,43,1
51,2,254230,2,10,0,2,0,2,0,1977,58,1
35,2,193026,2,10,0,2,0,2,0,0,60,0
44,0,13769,2,10,0,2,0,2,0,0,40,1
52,0,186303,2,10,0,2,0,2,15024,0,55,1
47,2,209460,2,10,0,2,0,2,4386,0,40,1
47,0,172155,2,10,0,2,0,2,0,0,37,1
44,0,120057,2,12,0,2,0,2,4386,0,45,1
27,2,120126,2,10,0,2,0,2,0,0,40,0
39,1,187127,2,10,0,2,0,2,0,0,40,0
34,2,156192,2,10,0,2,0,2,0,0,45,1
37,0,114591,2,12,1,2,3,1,0,0,50,1
49,2,30751,2,11,2,2,3,2,0,0,60,0
23,0,74568,2,10,1,2,3,2,0,0,40,0
40,2,230478,2,12,2,2,3,2,0,0,30,0
90,0,227796,2,12,1,2,3,2,6097,0,45,1
63,0,195540,2,11,2,2,3,2,0,1408,40,0
35,0,139647,2,10,2,2,3,1,0,0,40,1
40,0,279679,2,10,2,2,3,2,0,0,45,0
57,0,296152,2,10,2,2,6,1,594,0,10,0
27,0,147340,2,10,1,2,4,1,0,0,40,0
32,0,370160,2,10,2,2,5,1,0,0,40,0
35,0,180137,2,10,2,2,5,2,0,0,60,0
26,2,192652,2,10,1,2,5,2,0,0,15,0
32,0,170154,2,12,2,2,5,1,25236,0,50,1
35,0,199501,2,12,2,2,5,1,0,0,50,0
51,0,189762,2,10,0,2,1,1,0,0,15,1
42,0,208875,2,10,0,2,1,1,0,0,40,1
44,2,35166,2,10,0,3,0,2,0,0,75,0
50,2,34067,2,10,0,3,0,2,0,0,60,1
44,2,53956,2,10,0,3,0,2,0,0,45,0
39,0,348521,2,10,0,3,0,2,0,2415,99,1
22,0,199555,2,10,1,3,4,2,0,0,25,0
23,0,384651,2,10,0,4,0,2,0,0,40,0
30,0,149787,2,10,0,4,0,2,0,0,40,0
48,0,43479,2,11,0,4,0,2,5013,0,40,0
45,0,353824,2,10,0,4,0,2,0,0,40,1
48,0,182313,2,10,0,4,0,2,0,0,40,0
47,1,218325,2,12,0,4,0,2,0,0,40,1
50,0,162327,2,10,0,4,0,2,0,0,50,0
43,0,88913,2,10,1,4,4,1,1055,0,40,0
23,0,195508,2,10,1,4,4,2,0,0,20,0
30,1,27051,2,10,1,4,4,2,0,0,40,0
20,0,199011,2,10,1,4,4,2,0,0,12,0
52,0,165998,2,10,0,5,0,2,0,0,40,0
30,0,75167,2,10,0,5,0,2,0,0,40,1
27,0,152231,2,10,0,5,0,2,0,0,45,0
51,0,192182,2,10,0,5,0,2,7298,0,40,1
35,0,52738,2,10,0,5,0,2,0,0,46,0
36,0,99146,2,10,0,5,0,2,0,1887,40,1
46,0,206707,2,10,2,5,3,1,0,0,40,0
22,0,183083,2,10,1,5,3,1,0,0,35,0
52,0,30846,2,10,2,5,3,1,0,0,40,0
23,0,187513,2,11,1,5,4,2,0,0,40,0
37,0,446390,2,10,0,5,1,1,0,0,40,1
35,2,199753,2,10,0,6,0,2,0,0,60,0
49,1,139268,2,10,0,6,0,2,0,0,70,1
47,2,159399,2,11,0,6,0,2,0,0,45,0
40,0,316820,2,10,0,6,0,2,0,1485,40,0
56,2,220187,2,10,0,6,0,2,0,0,45,1
24,0,283806,2,10,1,6,3,1,0,0,40,0
31,0,264936,2,10,1,6,3,1,0,0,40,0
20,0,190429,2,10,1,6,3,1,0,0,40,0
33,0,114764,2,10,2,6,3,1,0,0,40,0
22,0,147253,2,10,1,6,3,2,0,0,15,0
19,0,47235,2,10,1,6,3,1,0,0,75,0
57,0,106910,2,11,2,6,6,1,0,0,40,0
18,0,78181,2,10,1,6,6,1,0,0,40,0
18,0,148952,2,10,1,6,4,1,0,0,24,0
21,0,163333,2,10,1,6,4,1,0,0,35,0
20,0,199268,2,10,1,6,4,1,0,0,20,0
18,0,43272,2,10,1,6,4,2,0,0,20,0
23,0,140764,2,11,1,6,4,1,0,0,15,0
18,0,145005,2,10,1,6,4,2,0,0,20,0
21,2,318865,2,10,1,6,4,2,0,0,30,0
34,0,90409,2,10,1,6,4,2,0,0,40,0
31,0,273324,2,10,1,6,4,2,0,1721,16,0
28,0,181291,2,10,0,6,4,1,7688,0,40,1
43,1,134782,2,12,3,6,5,1,0,0,30,0
45,0,194134,2,11,1,6,5,1,0,0,40,0
46,0,95864,2,10,2,6,5,1,0,0,40,0
45,0,140581,2,10,3,6,5,1,0,0,40,0
43,0,26252,2,10,2,6,5,1,0,0,36,0
28,0,45613,2,10,1,7,3,1,0,0,40,0
52,2,146574,2,15,0,8,0,2,0,0,40,1
61,2,163174,2,15,0,8,0,2,0,0,35,1
47,0,387468,2,10,0,8,0,2,0,0,40,1
33,0,405913,2,10,0,8,0,2,0,0,40,1
41,1,219155,2,15,0,8,0,2,0,0,50,1
50,0,145033,2,15,0,8,0,2,0,2415,60,1
48,2,219021,2,15,0,8,0,2,0,0,35,1
45,0,259463,2,11,0,8,0,2,0,0,40,1
46,0,169711,2,10,0,8,0,2,0,0,40,1
47,2,102308,2,15,0,8,0,2,0,2415,45,1
44,2,311357,2,15,0,8,0,2,0,0,50,1
48,0,349986,2,15,0,8,0,2,99999,0,50,1
66,2,182470,2,15,0,8,0,2,0,0,25,1
45,0,252079,2,10,0,8,0,2,0,0,50,1
42,2,23813,2,10,0,8,0,2,2885,0,30,0
40,2,191429,2,15,0,8,0,2,15024,0,40,1
39,0,218490,2,15,0,8,0,2,15024,0,60,1
43,0,194726,2,15,0,8,0,2,15024,0,55,1
52,2,64045,2,15,0,8,0,2,99999,0,45,1
44,0,332401,2,15,0,8,0,2,99999,0,65,1
49,0,203067,2,10,0,8,0,2,0,0,40,1
45,2,244813,2,15,0,8,0,2,0,0,38,1
44,0,307468,2,15,0,8,0,2,0,0,29,1
37,0,107302,2,10,0,8,0,2,15024,0,45,1
47,0,408788,2,11,0,8,0,2,0,0,40,1
41,1,133060,2,12,0,8,0,2,0,0,40,1
66,2,115880,2,10,0,8,0,2,0,0,40,0
50,0,400630,2,15,0,8,0,2,0,0,36,1
32,1,247481,2,12,0,8,0,2,0,0,48,1
26,0,291968,2,15,0,8,0,2,0,1977,40,1
35,2,135436,2,15,0,8,0,2,0,0,50,1
29,2,75435,2,10,0,8,0,2,0,0,40,0
53,0,151580,2,10,0,8,0,2,15024,0,40,1
35,0,258339,2,15,0,8,0,2,0,0,55,1
34,0,208043,2,11,0,8,0,2,7298,0,45,1
39,0,40955,2,15,2,8,3,2,0,0,45,1
29,1,147256,2,12,1,8,3,2,0,0,40,1
39,0,347960,2,15,1,8,3,1,14084,0,35,1
52,0,186826,2,15,1,8,3,2,0,1564,40,1
28,0,332249,2,10,1,8,3,2,0,0,25,0
37,0,82576,2,15,2,8,3,2,14084,0,36,1
42,0,192569,2,15,2,8,3,1,0,0,39,1
20,0,39477,2,10,1,8,3,1,0,0,30,0
40,0,105794,2,15,1,8,3,1,14084,0,50,1
51,1,335481,2,10,2,8,3,1,0,0,40,1
22,0,246965,2,10,1,8,3,2,0,0,12,0
29,0,236436,2,12,1,8,3,1,8614,0,40,1
45,2,149640,2,15,1,8,3,2,0,0,30,1
51,1,194475,2,10,2,8,3,1,0,0,40,0
21,1,173534,2,10,1,8,4,1,0,0,40,0
30,0,176410,2,11,0,8,4,1,7298,0,16,1
48,1,183486,2,11,2,8,5,1,0,0,56,1
45,2,208802,2,15,2,8,5,2,25236,0,36,1
55,1,123382,2,11,2,8,5,1,0,0,35,0
45,1,319666,2,15,2,8,5,1,0,0,43,0
59,0,69884,2,15,3,8,5,2,0,0,50,0
35,0,200426,2,11,3,8,5,1,0,0,44,0
63,2,167501,2,10,0,8,1,1,20051,0,10,1
34,2,196791,2,12,0,8,1,1,0,0,25,1
30,0,97757,2,11,0,8,1,1,0,0,36,1
52,0,229983,2,15,0,8,1,1,3103,0,30,1
41,2,151990,2,11,0,8,1,1,0,0,15,1
46,0,205816,2,11,0,8,1,1,0,0,40,1
40,2,406811,2,10,0,8,1,1,0,0,40,1
45,1,169711,2,12,0,7,0,2,15024,0,72,1
47,1,352614,2,12,0,7,0,2,0,0,40,1
33,1,34080,2,10,0,7,0,2,0,0,40,1
44,1,277533,2,10,0,7,0,2,0,0,40,1
42,1,194417,2,10,0,7,0,2,0,0,40,1
29,1,224858,2,10,0,7,0,2,0,0,60,0
46,1,216414,2,10,0,7,0,2,0,0,40,1
22,1,249727,2,10,0,7,0,2,0,0,40,1
33,1,267859,2,10,0,7,0,2,0,0,40,0
39,1,183620,2,10,1,7,3,1,0,0,40,1
23,1,1117718,2,10,1,7,3,2,0,0,30,0
25,1,315287,2,10,1,7,6,2,0,0,40,0
34,0,263908,2,10,0,9,0,2,0,0,50,0
40,2,194360,2,11,0,9,0,2,0,0,72,1
55,2,124137,2,10,0,9,0,2,0,0,40,1
50,0,176240,2,10,0,9,0,2,0,0,50,1
54,2,206964,2,10,0,9,0,2,0,1977,40,1
51,2,30012,2,10,0,9,0,2,0,0,50,1
58,0,196502,2,10,0,9,0,2,0,0,60,1
42,0,297266,2,10,0,9,0,2,0,0,90,1
46,0,42251,2,10,0,9,0,2,0,0,45,1
68,2,211584,2,10,0,9,0,2,0,0,40,1
51,2,276456,2,12,0,9,0,2,3103,0,30,1
35,0,356250,2,15,0,9,0,2,0,0,35,0
53,0,177063,2,10,0,9,0,2,0,0,45,1
35,2,340110,2,10,0,9,0,2,0,0,50,1
53,2,290640,2,10,0,9,0,2,0,0,50,1
57,0,112840,2,10,0,9,0,2,0,0,50,1
38,2,312232,2,10,0,9,0,2,0,0,50,1
68,2,133736,2,10,0,9,0,2,20051,0,40,1
51,0,274528,2,10,0,9,0,2,0,0,40,0
42,0,34278,2,10,0,9,0,2,0,0,50,1
37,0,234901,2,10,0,9,0,2,0,0,50,1
52,0,357596,2,10,0,9,0,2,0,0,48,1
58,0,315081,2,12,0,9,0,2,0,0,42,1
22,0,91842,2,10,1,9,3,1,0,0,42,0
58,2,96609,2,10,2,9,3,1,0,0,40,0
30,0,373213,2,11,2,9,3,1,0,0,40,1
23,0,82998,2,10,1,9,3,2,0,0,30,0
23,0,174754,2,10,1,9,3,1,0,0,30,0
53,0,288216,2,10,3,9,3,1,0,0,40,0
30,0,181992,2,10,1,9,3,1,0,0,35,0
34,0,208785,2,12,2,9,3,2,0,0,50,1
33,2,118267,2,12,2,9,3,2,0,0,60,0
50,2,197054,2,15,2,9,3,2,0,0,50,1
42,2,144236,2,10,1,9,3,2,0,0,60,0
26,0,126829,2,10,1,9,3,2,0,0,40,0
40,0,120277,2,10,1,9,3,2,0,0,40,0
30,0,197886,2,10,1,9,3,2,0,0,45,1
24,0,306779,2,10,1,9,3,2,0,0,65,0
20,0,34506,2,10,1,9,3,1,0,0,20,0
22,0,113703,2,10,1,9,6,2,0,0,20,0
20,0,146706,2,10,0,9,6,1,0,0,30,0
21,0,131473,2,10,1,9,4,2,0,0,20,0
19,0,276937,2,10,1,9,4,1,0,0,25,0
21,0,43587,2,10,1,9,4,1,0,0,30,0
26,0,193347,2,10,2,9,4,1,0,0,28,0
35,0,142874,2,12,3,9,4,1,0,0,36,0
27,0,200928,2,10,1,9,4,2,0,0,22,0
32,0,137875,2,10,2,9,5,1,0,0,30,0
43,0,142444,2,10,2,9,5,1,0,0,55,1
54,0,144586,2,10,0,9,1,1,0,0,40,1
35,2,82051,2,10,0,9,1,1,0,0,40,0
29,1,124953,2,11,0,10,0,2,0,0,42,1
34,0,35595,2,11,0,10,0,2,0,0,40,0
46,0,37718,2,12,0,10,0,2,0,1977,50,1
46,0,189123,2,12,0,10,0,2,7298,0,40,1
37,0,365739,2,12,0,10,0,2,0,0,40,1
31,0,212705,2,10,0,10,0,2,0,0,40,1
42,0,228320,2,10,0,10,0,2,0,0,50,1
39,0,79586,2,10,0,10,0,2,0,0,35,1
45,0,81132,2,10,0,10,0,2,0,0,55,1
27,1,24988,2,11,1,10,3,1,0,1564,72,1
27,0,129629,2,11,1,10,6,1,0,0,36,0
56,0,202220,2,10,2,10,5,1,0,0,38,0
41,0,291965,2,10,1,10,5,1,0,0,40,0
61,0,219886,2,10,0,10,1,1,0,0,40,1
29,1,376302,2,11,0,10,1,1,0,0,35,1
48,0,123681,2,10,0,11,0,2,0,0,40,1
43,1,145166,2,10,0,11,0,2,0,0,84,0
38,0,122076,2,10,0,11,0,2,7298,0,43,1
44,0,193494,2,10,0,11,0,2,0,0,72,1
24,0,60783,2,10,0,11,0,2,0,0,70,1
37,0,89718,2,10,0,11,0,2,0,0,45,0
48,2,296066,2,10,0,11,0,2,0,0,50,1
41,0,104196,2,10,2,11,3,2,0,0,60,0
28,0,292536,2,10,1,11,3,2,0,0,50,0
56,0,119859,2,10,2,11,3,2,0,0,40,1
35,0,183800,3,13,0,0,0,2,0,0,40,1
25,0,264012,3,13,0,0,0,2,0,0,45,1
37,1,397877,3,13,0,0,0,2,0,0,40,1
50,0,98975,3,13,0,0,0,2,15024,0,40,1
32,1,113129,3,13,0,0,0,2,0,0,38,1
34,1,191342,3,13,0,0,0,2,0,0,38,0
41,0,325159,3,13,0,0,0,2,0,0,50,0
33,0,207561,3,13,1,0,3,2,0,0,40,0
33,0,129707,3,13,1,0,3,2,0,0,60,1
28,0,192932,3,13,2,0,3,1,0,0,40,0
37,0,315291,3,13,1,0,6,1,0,0,40,0
22,0,194723,3,13,1,0,4,1,0,0,10,0
26,0,120268,3,13,1,0,4,2,0,0,24,0
45,0,204057,3,13,2,0,5,1,0,0,40,0
25,0,90752,3,13,0,0,1,1,0,0,40,0
62,0,211035,3,13,0,0,1,1,0,0,30,1
36,1,287821,3,13,0,0,1,1,0,0,40,1
41,0,341204,3,13,0,0,1,1,0,0,40,1
45,0,26502,3,13,0,1,0,2,0,0,72,1
45,0,77085,3,13,0,1,0,2,0,0,40,1
37,0,192939,3,13,0,1,0,2,0,0,40,1
38,0,187870,3,13,0,1,0,2,0,0,40,1
65,0,194456,3,13,0,1,0,2,0,0,40,1
50,1,137815,3,13,0,1,0,2,0,0,40,1
44,2,218653,3,13,2,1,4,2,0,0,40,0
33,0,178107,3,13,1,1,4,2,0,0,20,0
57,2,204387,3,13,0,2,0,2,0,1977,10,1
51,0,122533,3,13,0,2,0,2,0,0,40,1
45,0,192835,3,13,0,2,0,2,0,1977,55,1
45,2,270079,3,13,0,2,0,2,0,0,50,1
52,0,159755,3,13,0,2,0,2,0,1887,40,1
38,0,332154,3,13,0,2,0,2,0,0,60,1
51,0,311350,3,13,0,2,0,2,0,0,40,1
35,0,138441,3,13,0,2,0,2,0,0,40,1
34,0,42900,3,13,0,2,0,2,0,0,50,1
31,0,209101,3,13,0,2,0,2,0,0,50,1
33,2,123424,3,13,0,2,0,2,0,0,40,1
